year_of_born,gender,age_of_DL,safety_rating,driver_key
1994,F,21,62,7591
1963,F,16,68,7592
1962,F,22,98,7593
1986,F,22,77,7594
1976,M,29,98,7595
1990,F,18,79,7596
1982,F,24,64,7597
1974,M,26,80,7598
1987,M,23,75,7599
2000,M,18,94,7600
2006,F,26,85,7601
1958,F,24,84,7602
1982,F,18,49,7603
1969,M,19,73,7604
1967,F,18,59,7605
1989,F,21,64,7606
1965,F,24,76,7607
1998,F,23,48,7608
1983,M,21,67,7609
1981,F,18,76,7610
1972,M,16,77,7611
1993,F,27,67,7612
1967,M,23,47,7613
1984,F,20,67,7614
1972,M,23,84,7615
1975,F,24,100,7616
1995,M,25,60,7617
1954,M,21,80,7618
1972,M,24,80,7619
2000,M,29,100,7620
1953,M,16,56,7621
1951,F,23,41,7622
1946,F,18,86,7623
1964,F,24,70,7624
1980,M,27,68,7625
1986,F,18,42,7626
1987,F,19,88,7627
1995,M,19,69,7628
1964,F,29,83,7629
2001,F,17,61,7630
1983,M,19,80,7631
2002,F,27,65,7632
1955,M,21,67,7633
1968,F,24,69,7634
1967,F,23,61,7635
1991,F,21,84,7636
1961,F,20,57,7637
1966,M,25,56,7638
1991,F,20,95,7639
1971,M,22,100,7640
1994,M,17,66,7641
1981,M,24,66,7642
1964,F,28,72,7643
1995,F,18,65,7644
1970,F,29,86,7645
1971,F,26,30,7646
1975,M,24,85,7647
1975,M,16,68,7648
1987,F,25,78,7649
2002,F,19,90,7650
1979,F,29,68,7651
1997,M,19,63,7652
2001,F,20,79,7653
1988,M,22,76,7654
1989,F,26,76,7655
2000,F,22,73,7656
1984,M,23,94,7657
1967,M,21,57,7658
1994,M,23,81,7659
1976,F,18,75,7660
1938,F,22,74,7661
1995,M,30,100,7662
1957,M,27,79,7663
1959,M,27,77,7664
2006,F,24,55,7665
1990,M,22,84,7666
1972,F,24,60,7667
1986,M,19,89,7668
1957,M,24,74,7669
1957,M,28,100,7670
1988,M,20,85,7671
1982,F,17,66,7672
1952,F,20,85,7673
1971,M,19,95,7674
1983,M,21,83,7675
1990,M,17,56,7676
1972,F,19,35,7677
1964,F,19,62,7678
1970,F,26,67,7679
2002,M,26,45,7680
1983,M,22,83,7681
1957,F,25,80,7682
2004,F,24,67,7683
1977,F,26,46,7684
1978,M,21,70,7685
1979,M,18,86,7686
1959,M,21,89,7687
1980,M,30,80,7688
1993,M,26,79,7689
1972,M,24,87,7690
1971,M,21,97,7691
1973,F,25,79,7692
1982,M,17,97,7693
1997,M,20,60,7694
2001,M,21,73,7695
1985,M,20,61,7696
2000,M,28,77,7697
1969,M,19,75,7698
1972,F,19,82,7699
1992,M,21,74,7700
1973,F,19,65,7701
1982,F,25,87,7702
1973,M,22,67,7703
1974,F,27,64,7704
1986,F,23,77,7705
1970,F,24,86,7706
1993,F,22,79,7707
1987,M,23,74,7708
1989,F,28,56,7709
1986,M,26,66,7710
1974,M,19,80,7711
1991,F,24,71,7712
1988,F,24,83,7713
1976,M,22,82,7714
1976,F,24,78,7715
1995,M,21,81,7716
1991,M,17,63,7717
1940,F,21,67,7718
1960,F,22,98,7719
1961,F,16,97,7720
1982,M,27,78,7721
1989,M,25,59,7722
1980,M,21,65,7723
1983,F,21,68,7724
1981,F,20,38,7725
1991,F,26,84,7726
1996,F,23,59,7727
1995,F,27,70,7728
1978,F,16,80,7729
1982,F,29,74,7730
2003,M,23,75,7731
1988,M,28,88,7732
1983,M,17,77,7733
1992,M,18,81,7734
1995,F,28,87,7735
1981,M,24,86,7736
1973,M,24,94,7737
1965,M,23,71,7738
1976,M,20,57,7739
1977,F,23,51,7740
1990,M,29,60,7741
2003,M,18,60,7742
1974,F,22,80,7743
1971,F,21,55,7744
1965,M,20,56,7745
1959,M,20,78,7746
1975,F,30,51,7747
1956,M,20,93,7748
1979,F,30,82,7749
1970,F,18,71,7750
1995,M,29,2,7751
1986,M,21,83,7752
1975,F,22,83,7753
1944,F,25,63,7754
1984,F,24,51,7755
1977,M,18,59,7756
1981,M,21,56,7757
1992,F,18,54,7758
1997,M,24,97,7759
1991,M,25,100,7760
1956,M,16,73,7761
1988,F,28,54,7762
1972,M,19,59,7763
1994,F,20,74,7764
1968,M,25,56,7765
1952,M,18,89,7766
1976,F,16,73,7767
1988,M,23,100,7768
1977,F,18,55,7769
1994,F,19,76,7770
2000,F,24,80,7771
1993,M,24,93,7772
1990,F,21,56,7773
1963,F,25,70,7774
1997,F,19,89,7775
1983,M,27,78,7776
1962,F,16,47,7777
1948,F,18,75,7778
1970,M,19,79,7779
1998,F,21,76,7780
1970,F,25,51,7781
1992,F,21,84,7782
1980,M,22,86,7783
1985,M,19,63,7784
1982,F,27,62,7785
1930,M,28,72,7786
1983,F,27,44,7787
2002,F,24,62,7788
1981,F,28,60,7789
1963,M,21,70,7790
1967,F,17,84,7791
1973,M,23,89,7792
1987,M,27,82,7793
1998,M,27,55,7794
1974,F,18,77,7795
1975,M,21,49,7796
1962,F,16,56,7797
1966,M,19,77,7798
2007,M,25,87,7799
1961,F,23,62,7800
1973,M,22,93,7801
1980,M,25,65,7802
1993,M,18,73,7803
1993,F,16,59,7804
1973,F,21,57,7805
1984,F,21,89,7806
1962,F,26,87,7807
1982,M,22,81,7808
1961,M,22,67,7809
1980,F,25,75,7810
1976,M,26,73,7811
1996,M,24,46,7812
1977,M,25,65,7813
1965,M,23,92,7814
1986,F,17,73,7815
1982,M,27,55,7816
1991,M,31,76,7817
1966,F,22,81,7818
1995,F,23,93,7819
1972,F,18,61,7820
1972,M,26,90,7821
1979,M,19,64,7822
1963,M,23,77,7823
1983,F,23,78,7824
1974,M,16,87,7825
1993,F,22,86,7826
1990,M,24,63,7827
1969,M,19,98,7828
1969,F,22,67,7829
1990,F,22,68,7830
1988,M,20,91,7831
1976,M,27,45,7832
1975,M,24,95,7833
1976,M,27,95,7834
1972,M,26,66,7835
1972,F,24,47,7836
1985,M,22,53,7837
1970,F,20,87,7838
1987,F,21,86,7839
1991,F,25,61,7840
1995,F,27,84,7841
1999,F,17,91,7842
1986,F,24,88,7843
1978,M,23,82,7844
1991,M,23,46,7845
1971,M,19,70,7846
1960,M,17,64,7847
1978,M,22,79,7848
1974,M,17,83,7849
1972,M,21,68,7850
1986,F,28,61,7851
1989,F,24,71,7852
1995,F,18,56,7853
1994,M,22,16,7854
1960,F,21,89,7855
1956,M,21,69,7856
1966,M,21,80,7857
1971,F,22,89,7858
1993,F,26,82,7859
1978,M,25,49,7860
1993,F,22,100,7861
1980,M,27,55,7862
1983,F,16,78,7863
1980,F,26,91,7864
1993,M,26,100,7865
1973,M,20,55,7866
1975,M,20,71,7867
1994,F,28,87,7868
1974,F,22,64,7869
1968,F,27,78,7870
1995,M,17,89,7871
1977,M,29,75,7872
1965,F,19,79,7873
1990,F,23,75,7874
1978,M,26,73,7875
1990,M,19,60,7876
1976,M,26,74,7877
1972,M,26,87,7878
1960,M,16,95,7879
1985,F,22,81,7880
1941,F,21,92,7881
1983,M,16,100,7882
1985,F,25,57,7883
1944,M,23,84,7884
1976,F,19,84,7885
1969,M,25,95,7886
1983,M,27,70,7887
1995,F,21,68,7888
1954,F,20,61,7889
1987,M,24,87,7890
1975,F,25,77,7891
1974,M,17,63,7892
1954,M,18,68,7893
1974,F,19,95,7894
1970,M,23,77,7895
1963,F,23,66,7896
1990,F,23,52,7897
1986,M,27,71,7898
1971,M,18,53,7899
1993,F,21,80,7900
1976,F,19,50,7901
1957,M,28,70,7902
1983,M,23,68,7903
1983,M,26,83,7904
1989,F,30,87,7905
1964,M,23,76,7906
1977,F,25,78,7907
1961,M,19,53,7908
1967,F,24,95,7909
1990,M,26,94,7910
2000,F,19,60,7911
1980,M,21,79,7912
1994,F,16,95,7913
1999,F,23,97,7914
1990,F,23,93,7915
1990,F,22,58,7916
1948,F,19,90,7917
1970,F,19,76,7918
1966,F,19,73,7919
1995,F,19,92,7920
1994,F,20,100,7921
1981,F,23,62,7922
1981,M,23,60,7923
1973,M,25,91,7924
1985,F,26,85,7925
1993,M,19,73,7926
1979,M,22,81,7927
1992,F,18,89,7928
1935,M,21,65,7929
1996,M,27,55,7930
1974,M,20,84,7931
1980,M,30,82,7932
2001,M,20,72,7933
1960,F,25,96,7934
1967,M,21,53,7935
1975,M,25,72,7936
1968,F,20,55,7937
1984,F,18,64,7938
1996,F,22,81,7939
1969,M,26,79,7940
1986,F,20,78,7941
1962,M,23,77,7942
1972,F,27,86,7943
1986,M,23,72,7944
1999,F,29,80,7945
1995,M,27,68,7946
1967,M,24,68,7947
1996,F,24,68,7948
1967,F,24,65,7949
1982,M,18,88,7950
1965,M,22,80,7951
1985,F,24,69,7952
1967,F,25,71,7953
2000,F,19,94,7954
1984,F,23,65,7955
1993,F,17,86,7956
1984,M,22,68,7957
1982,F,16,94,7958
1999,M,27,71,7959
1974,F,26,59,7960
1982,M,24,65,7961
1985,F,27,82,7962
1947,F,20,66,7963
1993,M,24,53,7964
1969,F,18,98,7965
1987,M,24,70,7966
1985,M,23,68,7967
1999,F,22,65,7968
1970,M,25,100,7969
1984,F,25,62,7970
1991,M,19,93,7971
1972,F,23,64,7972
1991,M,18,82,7973
1995,F,22,98,7974
1996,M,28,90,7975
1967,M,24,64,7976
2000,M,21,80,7977
1964,F,31,67,7978
1969,M,17,74,7979
1978,M,27,67,7980
1990,M,28,77,7981
1972,M,26,83,7982
1999,F,19,88,7983
1992,F,23,78,7984
1959,F,24,70,7985
1977,M,26,64,7986
1973,F,20,76,7987
2001,M,19,86,7988
2001,M,16,72,7989
1992,F,27,71,7990
1971,M,26,82,7991
1967,M,23,63,7992
1980,F,23,74,7993
1978,M,20,93,7994
1991,F,27,58,7995
1986,M,16,73,7996
1970,F,25,58,7997
1989,M,22,71,7998
1985,M,22,77,7999
1992,M,23,89,8000
1991,F,20,94,8001
2002,F,21,92,8002
1981,F,30,57,8003
1974,F,20,72,8004
1981,M,26,53,8005
1999,M,18,65,8006
1987,F,20,63,8007
1986,F,22,94,8008
1986,M,26,92,8009
1998,M,19,64,8010
1977,M,17,35,8011
1984,M,21,87,8012
1968,M,20,41,8013
1975,M,23,74,8014
1982,F,23,69,8015
2000,M,22,65,8016
1984,F,23,66,8017
1983,F,24,75,8018
1987,F,19,82,8019
1985,M,16,79,8020
1999,F,16,70,8021
1937,M,28,70,8022
1995,F,23,90,8023
1986,F,23,89,8024
1977,F,23,66,8025
1968,F,25,95,8026
1976,M,21,71,8027
1979,F,21,95,8028
1994,M,22,57,8029
1985,M,21,76,8030
2001,F,27,77,8031
1977,F,22,93,8032
2002,F,25,100,8033
1963,M,19,83,8034
1981,M,17,49,8035
1987,M,16,56,8036
2000,F,26,88,8037
1969,F,23,69,8038
1999,F,16,93,8039
1965,F,23,63,8040
1984,F,19,68,8041
1969,F,25,83,8042
1995,M,23,67,8043
1985,F,32,88,8044
1983,F,21,88,8045
1958,F,23,53,8046
1983,F,21,82,8047
2000,M,18,79,8048
2004,M,16,63,8049
1989,F,25,95,8050
1966,F,27,57,8051
1977,M,26,47,8052
1986,F,19,61,8053
1993,F,17,63,8054
1983,F,22,29,8055
1982,M,18,100,8056
1968,M,26,87,8057
1992,M,28,84,8058
1992,F,19,68,8059
1945,M,27,34,8060
1994,M,24,62,8061
1970,F,16,89,8062
1962,F,27,45,8063
1969,M,26,91,8064
1973,F,27,65,8065
1992,M,19,74,8066
1971,F,23,76,8067
1982,M,22,79,8068
1985,M,22,76,8069
1976,M,19,41,8070
1962,M,23,81,8071
1941,F,22,83,8072
1978,M,30,81,8073
1970,M,25,84,8074
1983,F,24,54,8075
1984,M,20,68,8076
1991,M,17,71,8077
1995,M,16,70,8078
1960,F,16,89,8079
1950,M,17,57,8080
1975,M,18,56,8081
1973,M,18,80,8082
1976,F,19,56,8083
1987,F,21,92,8084
1995,M,17,70,8085
1977,F,22,48,8086
1992,M,29,63,8087
1961,M,24,63,8088
1978,M,20,75,8089
1987,F,20,100,8090
1968,F,19,87,8091
1964,F,27,52,8092
1974,F,22,56,8093
1981,F,25,34,8094
1968,F,21,82,8095
1967,M,17,100,8096
1993,F,21,98,8097
1982,F,25,67,8098
1981,F,30,87,8099
1968,M,19,81,8100
1982,F,24,67,8101
1990,M,19,81,8102
1993,F,23,85,8103
1991,M,19,75,8104
1966,M,19,71,8105
1968,F,19,73,8106
1998,F,17,67,8107
1989,F,25,97,8108
1977,M,24,82,8109
1991,M,16,69,8110
1982,F,24,88,8111
1975,F,23,58,8112
1961,F,19,89,8113
1976,M,22,71,8114
1968,F,27,89,8115
1975,F,23,100,8116
1981,M,20,54,8117
2004,M,27,100,8118
1971,F,22,59,8119
1979,M,21,87,8120
1985,F,21,70,8121
1979,M,21,63,8122
1966,M,21,86,8123
1982,F,20,77,8124
1974,M,28,93,8125
1977,F,19,67,8126
1962,F,20,71,8127
1984,F,24,67,8128
1982,M,20,80,8129
1995,M,26,84,8130
1977,F,23,92,8131
1985,M,23,91,8132
2001,F,25,60,8133
1995,F,25,79,8134
1988,F,23,82,8135
1982,F,24,78,8136
1984,M,22,61,8137
1986,M,17,87,8138
1997,F,25,88,8139
1994,M,19,61,8140
1977,F,24,76,8141
1969,F,27,85,8142
1965,F,22,54,8143
1988,M,22,77,8144
1984,F,19,84,8145
1975,M,17,92,8146
1985,M,19,81,8147
1984,F,16,87,8148
1991,M,26,75,8149
1958,F,20,89,8150
1960,F,20,75,8151
1976,M,25,61,8152
1985,M,16,100,8153
1993,M,22,60,8154
1998,M,26,78,8155
1995,M,24,100,8156
1990,M,16,94,8157
1977,M,21,99,8158
1988,F,21,91,8159
1974,F,27,73,8160
2000,M,24,82,8161
1980,M,21,77,8162
2005,F,23,77,8163
1988,M,23,74,8164
1983,M,21,72,8165
1965,M,24,81,8166
1979,M,17,85,8167
1993,M,20,69,8168
1990,M,23,64,8169
1967,F,23,74,8170
1990,F,26,89,8171
1972,M,20,62,8172
1968,M,23,64,8173
1991,F,20,96,8174
1979,F,26,94,8175
1978,M,26,50,8176
1981,M,16,74,8177
1989,M,28,100,8178
1964,M,27,85,8179
1982,M,16,93,8180
1971,M,25,96,8181
1966,F,28,67,8182
1990,F,22,54,8183
1978,F,18,58,8184
1975,M,18,61,8185
1999,M,29,80,8186
2000,F,21,82,8187
1985,F,27,83,8188
1970,M,21,57,8189
1991,M,16,46,8190
1992,F,19,72,8191
1993,F,20,100,8192
1989,M,22,80,8193
1978,F,20,73,8194
1953,F,21,89,8195
1979,M,17,95,8196
1990,M,26,69,8197
1975,M,23,88,8198
1970,M,19,66,8199
1984,M,20,77,8200
1980,F,16,39,8201
1986,M,22,66,8202
1998,M,18,58,8203
1969,F,21,49,8204
1972,F,18,93,8205
1992,M,20,61,8206
1974,F,23,68,8207
1966,M,17,81,8208
2001,F,18,67,8209
1985,M,23,74,8210
1992,F,21,56,8211
1980,F,28,64,8212
1967,F,20,89,8213
1998,M,19,73,8214
1974,M,17,68,8215
1994,M,25,63,8216
1989,F,16,70,8217
2001,F,26,72,8218
1994,M,16,89,8219
1967,F,21,40,8220
2000,M,27,87,8221
1972,M,23,82,8222
1991,F,28,76,8223
1990,F,16,86,8224
1998,F,28,51,8225
1976,M,16,67,8226
1958,M,27,73,8227
1990,M,24,97,8228
1996,M,21,72,8229
1981,F,17,60,8230
1966,F,27,77,8231
1975,F,25,92,8232
1989,M,25,84,8233
1967,M,21,70,8234
1979,M,24,56,8235
1994,F,21,83,8236
1991,M,17,54,8237
1967,F,29,84,8238
1997,F,19,90,8239
1976,F,23,92,8240
1943,F,19,81,8241
1944,F,24,79,8242
1984,F,25,58,8243
1956,M,27,73,8244
1956,M,25,84,8245
2003,M,24,96,8246
1957,M,23,91,8247
1990,M,19,98,8248
1978,F,18,59,8249
1983,F,22,86,8250
1956,M,27,79,8251
1988,F,24,79,8252
1978,M,18,70,8253
1981,F,19,64,8254
1995,M,17,66,8255
1977,M,17,89,8256
1970,F,24,68,8257
1985,F,25,46,8258
1991,M,21,63,8259
1984,F,22,60,8260
1974,M,18,68,8261
1974,F,18,71,8262
1987,M,16,72,8263
1962,F,23,55,8264
1999,F,24,70,8265
1955,M,23,84,8266
1975,F,16,55,8267
1964,F,22,67,8268
1965,F,21,80,8269
1997,F,21,79,8270
1996,F,19,76,8271
1988,M,25,91,8272
1985,F,17,64,8273
1969,M,29,93,8274
1965,M,22,67,8275
1990,F,19,54,8276
1965,M,19,67,8277
1994,M,24,49,8278
1975,M,22,53,8279
1966,F,26,37,8280
1971,M,20,84,8281
1992,M,25,78,8282
1977,F,16,39,8283
1962,F,21,52,8284
1955,M,21,66,8285
2000,M,25,77,8286
1970,F,21,66,8287
1994,M,20,61,8288
1992,M,17,54,8289
1991,M,19,88,8290
1977,M,27,72,8291
1982,F,17,71,8292
1974,M,26,91,8293
1990,F,18,60,8294
1968,M,22,61,8295
1997,M,20,79,8296
1979,F,27,54,8297
1980,M,21,74,8298
1996,M,24,75,8299
1980,F,18,100,8300
1967,M,16,100,8301
1967,F,26,76,8302
1966,M,22,65,8303
1999,M,22,100,8304
1993,F,23,38,8305
1984,M,18,100,8306
1995,F,25,39,8307
1992,M,18,85,8308
1976,M,25,64,8309
1974,M,24,92,8310
1978,M,16,91,8311
1977,M,23,93,8312
2000,M,21,88,8313
1976,F,16,100,8314
1993,M,18,94,8315
1981,F,23,68,8316
1993,F,18,68,8317
1962,M,23,80,8318
1992,M,16,87,8319
1993,M,24,62,8320
1987,F,20,72,8321
1985,F,19,98,8322
1971,M,28,57,8323
1989,M,19,78,8324
1987,F,23,63,8325
1988,M,21,66,8326
1987,M,16,69,8327
1991,F,22,85,8328
1975,M,19,78,8329
1962,M,19,57,8330
1975,F,25,75,8331
1991,F,27,82,8332
1979,F,28,71,8333
1958,M,19,88,8334
1970,F,17,89,8335
1957,M,23,87,8336
1997,M,22,45,8337
1995,F,20,98,8338
1985,F,16,87,8339
1995,F,23,71,8340
1965,M,22,85,8341
1979,F,25,83,8342
1995,F,24,93,8343
1991,F,21,31,8344
1986,F,25,72,8345
1994,M,25,58,8346
1989,M,26,97,8347
1981,M,22,61,8348
1991,F,23,88,8349
1966,M,18,80,8350
1996,M,24,66,8351
1988,F,20,48,8352
1982,F,16,80,8353
1956,F,21,65,8354
1999,F,27,88,8355
1953,F,24,64,8356
1997,F,23,82,8357
2000,F,20,73,8358
1982,F,19,65,8359
1998,M,26,59,8360
1977,F,21,95,8361
1973,F,22,68,8362
1971,F,16,66,8363
1989,F,17,59,8364
1961,F,23,69,8365
1985,F,24,66,8366
1966,F,22,72,8367
1973,F,25,80,8368
1992,F,20,66,8369
1988,M,18,100,8370
1987,F,19,71,8371
1976,M,17,79,8372
1979,M,22,79,8373
1982,F,18,66,8374
1964,M,23,59,8375
1975,F,23,50,8376
1971,F,25,90,8377
1998,M,24,72,8378
1991,M,18,70,8379
1986,M,19,51,8380
1969,F,23,73,8381
1970,M,20,92,8382
2002,M,16,75,8383
1993,F,22,83,8384
1980,M,16,80,8385
1980,M,25,68,8386
1985,F,19,77,8387
1984,F,19,70,8388
1998,M,26,100,8389
1991,F,25,62,8390
1979,M,16,91,8391
1970,F,16,87,8392
1975,M,18,83,8393
1991,F,24,73,8394
1957,F,26,48,8395
2003,F,23,85,8396
1994,F,20,61,8397
1977,F,20,67,8398
1969,F,21,71,8399
1959,M,25,80,8400
1972,F,18,57,8401
1963,F,28,100,8402
1965,M,24,73,8403
1993,M,20,66,8404
1998,F,19,78,8405
1991,M,17,76,8406
1989,M,18,52,8407
1981,M,24,57,8408
1992,F,27,90,8409
1999,M,21,61,8410
1981,M,18,88,8411
1962,F,16,60,8412
1984,F,16,76,8413
1994,F,25,57,8414
1984,M,27,82,8415
1979,M,16,54,8416
1977,M,22,89,8417
1986,M,25,82,8418
1979,F,23,39,8419
1981,M,29,68,8420
1974,F,17,75,8421
1999,M,27,79,8422
1912,F,19,100,8423
1968,M,17,55,8424
1994,M,23,79,8425
1995,M,18,62,8426
2006,F,16,71,8427
1988,M,24,92,8428
1979,M,21,62,8429
1971,M,28,88,8430
1967,M,16,82,8431
1978,F,16,59,8432
1988,F,20,64,8433
1977,M,21,49,8434
1975,F,27,90,8435
1972,M,24,73,8436
1974,F,26,75,8437
1969,F,30,67,8438
1998,M,25,59,8439
1974,F,27,54,8440
2004,M,25,81,8441
1946,F,29,89,8442
1988,M,19,55,8443
1988,F,27,62,8444
1977,M,31,80,8445
1977,M,21,71,8446
1995,M,29,61,8447
1967,F,24,43,8448
1981,M,24,75,8449
1989,F,25,61,8450
1994,M,23,93,8451
1980,M,25,36,8452
1976,M,19,61,8453
1996,M,23,81,8454
1984,M,19,69,8455
1997,M,23,56,8456
1987,F,22,94,8457
1969,M,21,57,8458
1960,F,16,85,8459
1986,M,22,44,8460
1991,F,20,82,8461
1993,M,26,85,8462
2000,F,16,77,8463
1993,M,16,78,8464
1977,M,31,86,8465
1958,M,18,72,8466
1983,F,22,52,8467
1995,F,24,69,8468
1972,M,19,68,8469
1983,F,23,90,8470
1993,F,23,81,8471
1992,M,23,48,8472
1959,F,19,74,8473
1991,F,25,58,8474
1993,F,23,84,8475
1977,F,22,85,8476
1962,M,29,76,8477
1998,M,19,82,8478
1990,M,22,87,8479
1984,F,24,68,8480
1987,F,23,90,8481
2006,M,24,69,8482
1981,M,22,73,8483
1971,M,21,40,8484
1978,F,26,72,8485
1966,M,22,76,8486
1984,F,21,64,8487
2000,F,16,98,8488
1964,M,16,94,8489
1959,M,18,89,8490
1955,M,27,76,8491
1985,M,25,88,8492
1961,M,25,59,8493
1992,M,28,71,8494
1986,M,21,46,8495
1989,F,22,94,8496
1971,M,27,52,8497
1988,M,22,72,8498
1938,F,29,47,8499
1988,F,23,81,8500
1962,M,23,82,8501
1986,M,26,64,8502
1998,M,23,87,8503
1979,F,18,73,8504
1987,F,19,91,8505
1977,M,22,41,8506
1985,M,20,73,8507
1997,M,26,66,8508
1957,M,25,75,8509
1981,M,22,72,8510
1978,F,29,79,8511
1980,M,23,69,8512
1975,M,21,100,8513
1980,M,27,82,8514
1969,F,22,64,8515
1982,F,23,100,8516
2001,M,23,74,8517
1989,M,23,97,8518
1992,F,24,75,8519
1965,F,18,80,8520
1987,F,25,91,8521
1954,M,23,91,8522
1986,F,24,65,8523
1987,F,20,89,8524
1973,F,22,77,8525
1988,M,18,67,8526
1980,F,21,88,8527
1984,F,20,76,8528
1970,F,20,100,8529
1978,F,17,86,8530
1986,F,26,70,8531
1978,F,20,77,8532
1964,M,22,89,8533
1969,F,25,60,8534
1987,F,20,69,8535
1999,F,22,57,8536
1994,M,17,46,8537
1981,M,20,74,8538
1995,F,27,80,8539
1965,F,23,55,8540
1981,M,19,63,8541
1981,F,23,82,8542
1974,M,18,78,8543
1978,F,17,88,8544
1956,F,21,77,8545
1966,M,19,73,8546
1998,F,24,62,8547
1979,M,23,73,8548
1979,M,24,100,8549
1970,M,16,50,8550
1988,F,20,85,8551
1981,M,19,82,8552
1968,M,26,86,8553
1986,M,27,41,8554
1960,F,27,82,8555
1987,M,18,59,8556
1969,F,25,89,8557
1961,M,23,68,8558
1979,M,21,77,8559
1966,M,22,77,8560
1990,F,25,53,8561
1966,M,24,65,8562
1983,F,23,100,8563
2002,M,18,91,8564
1981,F,27,83,8565
1963,F,24,87,8566
1952,M,24,68,8567
1934,F,18,79,8568
1973,F,21,66,8569
1963,M,24,60,8570
1980,M,29,68,8571
1984,M,17,84,8572
1984,M,25,99,8573
1972,F,30,59,8574
1993,M,19,48,8575
2003,M,20,84,8576
1974,M,26,67,8577
2006,M,19,45,8578
2003,M,21,100,8579
1993,F,25,83,8580
1953,M,26,61,8581
1968,F,20,72,8582
1959,M,19,53,8583
1989,F,25,58,8584
1984,F,25,64,8585
1972,M,25,73,8586
1947,F,27,70,8587
1984,F,25,66,8588
2000,F,16,70,8589
1980,M,21,75,8590
1970,M,23,88,8591
1983,F,23,43,8592
1984,F,27,64,8593
1972,F,25,67,8594
1969,M,17,92,8595
1984,M,26,84,8596
1971,M,19,53,8597
1990,F,24,66,8598
1997,F,23,100,8599
1994,M,22,83,8600
1989,F,18,67,8601
1971,M,26,84,8602
1971,M,26,99,8603
1979,M,17,76,8604
1976,M,16,87,8605
1981,F,19,93,8606
1957,M,20,66,8607
1985,F,20,36,8608
1983,M,21,85,8609
1982,F,22,51,8610
1987,M,18,73,8611
1983,M,20,66,8612
1992,F,23,86,8613
1996,F,28,77,8614
1973,F,23,71,8615
1988,M,24,71,8616
1985,M,19,80,8617
1965,M,22,45,8618
1993,M,22,86,8619
1999,F,21,73,8620
1992,F,16,62,8621
1999,M,21,87,8622
1971,M,18,100,8623
1981,F,27,92,8624
1982,F,20,86,8625
1986,M,26,67,8626
1983,F,27,72,8627
1976,M,22,90,8628
1962,M,24,62,8629
1983,F,19,74,8630
1989,M,27,84,8631
1988,M,27,66,8632
1998,F,25,50,8633
1981,F,26,80,8634
1961,M,30,91,8635
1985,M,25,93,8636
1975,M,26,76,8637
1983,F,19,100,8638
1990,F,18,98,8639
1990,F,18,70,8640
1980,F,16,82,8641
1981,F,25,44,8642
1979,F,16,87,8643
1971,F,20,83,8644
1965,F,18,84,8645
1980,F,28,81,8646
1982,M,24,50,8647
1970,F,19,89,8648
1983,M,27,90,8649
1998,F,21,100,8650
1991,F,23,100,8651
1975,M,27,53,8652
1978,M,22,57,8653
1956,M,21,68,8654
1996,M,18,68,8655
2002,F,22,65,8656
1963,F,22,81,8657
2002,M,26,70,8658
1999,F,21,51,8659
2001,F,21,86,8660
1998,M,23,98,8661
1967,F,23,40,8662
1982,M,22,76,8663
1982,F,20,79,8664
1975,F,26,57,8665
1967,M,23,81,8666
1972,F,24,88,8667
1990,M,24,60,8668
2002,F,21,66,8669
1985,F,24,96,8670
1975,M,26,78,8671
1974,F,25,82,8672
1971,F,24,98,8673
1952,F,19,82,8674
1997,F,16,95,8675
1975,M,24,79,8676
1957,M,18,80,8677
1963,F,24,97,8678
1982,M,20,84,8679
1990,M,25,92,8680
1954,F,24,100,8681
2003,F,25,67,8682
1984,M,18,65,8683
1972,M,21,52,8684
1997,M,28,66,8685
1983,F,25,87,8686
1967,M,21,54,8687
1988,M,16,56,8688
1979,F,25,98,8689
1993,M,24,73,8690
1972,M,25,67,8691
1984,F,20,49,8692
1979,F,26,79,8693
1985,F,22,74,8694
2002,M,23,88,8695
2001,M,22,90,8696
1992,F,25,74,8697
2003,M,26,91,8698
1982,M,20,58,8699
2001,M,21,67,8700
1987,F,21,100,8701
1989,F,16,81,8702
1982,M,16,69,8703
1988,F,23,68,8704
1990,F,25,54,8705
1985,F,26,95,8706
1997,M,16,67,8707
1981,M,25,62,8708
1971,F,25,70,8709
1932,F,26,78,8710
1982,M,19,81,8711
1976,F,22,90,8712
1976,M,17,97,8713
1973,M,22,53,8714
1977,F,21,78,8715
1972,F,25,48,8716
1973,M,22,56,8717
1985,M,26,73,8718
1975,M,28,77,8719
1970,M,23,80,8720
1999,F,28,55,8721
1997,M,22,72,8722
1967,M,27,82,8723
1976,F,25,65,8724
1976,M,22,89,8725
1979,F,26,95,8726
1960,M,24,62,8727
1987,M,20,76,8728
1997,F,20,48,8729
1981,F,29,77,8730
1998,M,17,90,8731
1998,M,24,56,8732
1954,M,22,78,8733
1999,M,28,68,8734
1984,F,26,94,8735
1971,F,19,85,8736
1994,M,25,69,8737
1975,F,24,91,8738
1963,M,17,78,8739
1997,M,23,57,8740
1982,M,30,81,8741
1977,M,22,75,8742
2003,F,18,72,8743
1975,M,22,74,8744
1983,F,19,43,8745
2004,M,16,88,8746
1975,M,24,81,8747
1973,F,21,86,8748
1982,M,23,46,8749
1994,F,23,87,8750
2001,F,18,100,8751
2004,M,23,95,8752
1965,F,24,71,8753
1983,M,21,50,8754
