year_of_born,gender,age_of_DL,safety_rating,driver_key,claim_number,subrogation,claim_est_payout,liab_prct,claim_date,claim_day_of_week,channel,zip_code,witness_present_ind,policy_report_filed_ind,in_network_bodyshop,accident_key,policyholder_key,vehicle_key
1981,F,27,79,6086,8542883,0,2370.21,32,1/26/2016,Saturday,Broker,15006,N,1,yes,9.0,5209.0,6480.0
1993,F,28,60,6087,9399596,0,6863.49,42,5/17/2016,Thursday,Phone,50048,Y,0,yes,4.0,5210.0,6481.0
1986,M,18,77,6088,2830550,0,2839.33,34,10/26/2015,Tuesday,Phone,85003,Y,0,yes,4.0,5211.0,6482.0
1957,F,26,60,6089,4796885,0,3672.14,38,12/31/2016,Saturday,Phone,15001,N,1,no,5.0,5212.0,6483.0
1976,M,19,72,6090,8478048,0,2655.99,39,3/7/2016,Friday,Broker,20132,Y,0,yes,3.0,91.0,6484.0
2001,F,19,74,6091,5873462,0,686.96,53,5/12/2015,Monday,Phone,80002,N,1,no,4.0,466.0,6485.0
1940,M,21,87,6092,6422847,0,5747.65,33,3/26/2016,Wednesday,Broker,80016,N,0,yes,1.0,5213.0,6486.0
1993,F,24,63,6093,3702548,0,16805.58,51,4/5/2016,Friday,Broker,20110,Y,1,yes,12.0,5214.0,6487.0
1975,F,17,67,6094,4971861,1,2866.32,43,4/30/2015,Tuesday,Broker,20109,Y,0,no,11.0,3637.0,6488.0
1997,M,20,89,6095,9327112,0,1781.88,37,6/21/2015,Thursday,Phone,15010,N,1,yes,5.0,5215.0,6489.0
1976,M,26,61,6096,8999956,1,792.24,27,2/5/2015,Wednesday,Broker,20132,N,1,yes,11.0,5216.0,6490.0
1987,M,21,70,6097,9172022,0,827.31,47,9/20/2016,Saturday,Broker,15031,N,0,yes,4.0,43.0,6491.0
1992,F,24,84,6098,4898685,1,3470.49,28,8/11/2015,Saturday,Broker,85075,N,1,yes,11.0,5217.0,6492.0
1979,M,20,59,6099,5218007,1,1170.03,38,5/20/2015,Wednesday,Phone,15022,N,1,yes,11.0,5218.0,6493.0
1989,M,18,49,6100,2236981,0,2705.64,38,4/24/2015,Monday,Phone,15018,N,1,no,11.0,83.0,6494.0
1982,M,23,74,6101,8598024,0,8251.58,26,1/29/2016,Monday,Broker,15009,N,1,yes,1.0,5219.0,6495.0
1983,F,23,54,4,3275501,0,2297.65,40,2/8/2015,Saturday,Broker,50025,N,1,yes,10.0,43.0,6496.0
1990,F,17,79,6102,8502438,0,5004.77,44,1/6/2016,Tuesday,Broker,15049,N,0,yes,6.0,2571.0,6497.0
1995,M,25,97,6103,8452478,0,2107.71,29,7/2/2016,Friday,Broker,20111,N,0,yes,4.0,5220.0,6498.0
1984,F,20,50,5275,3731452,0,4858.88,54,3/1/2015,Sunday,Online,85021,N,0,yes,10.0,5221.0,6499.0
1948,F,24,71,6104,3252346,0,17523.3,49,10/2/2016,Sunday,Broker,85023,Y,0,no,4.0,5222.0,6500.0
1988,F,29,70,6105,4784118,0,708.2,59,4/7/2015,Sunday,Broker,20156,N,1,yes,12.0,91.0,6501.0
1990,M,16,80,6106,8142824,0,867.25,65,2/16/2015,Thursday,Broker,85067,N,1,yes,4.0,183.0,6502.0
1976,F,28,72,6107,8673207,1,3183.1,30,12/1/2015,Sunday,Broker,20139,Y,1,yes,2.0,5223.0,6503.0
1980,F,24,66,2261,7081295,0,3420.99,53,12/21/2016,Friday,Online,50014,N,1,yes,9.0,5224.0,6504.0
1966,M,20,40,6108,2798043,0,2373.62,55,8/31/2016,Monday,Broker,20102,N,0,yes,7.0,5225.0,6505.0
1998,M,21,98,6109,4727174,0,3818.39,35,2/18/2016,Sunday,Phone,20155,N,1,no,8.0,5226.0,6506.0
1977,M,21,70,6110,1755629,1,1703.52,33,2/7/2016,Wednesday,Broker,50007,Y,1,yes,2.0,5227.0,6507.0
1978,F,26,56,6111,6033171,0,321.76,37,12/2/2016,Saturday,Phone,20130,N,1,no,6.0,5228.0,6508.0
1948,M,19,60,6112,6318799,0,1624.06,31,12/29/2015,Monday,Broker,85035,Y,1,no,12.0,5229.0,6509.0
1985,F,18,85,6113,1137062,0,990.76,30,4/24/2015,Friday,Broker,15003,Y,1,no,6.0,5230.0,6510.0
1964,M,27,90,6114,9513006,0,6128.28,53,1/9/2016,Friday,Phone,50048,N,1,yes,5.0,5231.0,6511.0
2005,M,27,60,6115,3669078,0,2418.0,46,8/22/2016,Sunday,Online,50046,N,1,yes,7.0,43.0,6512.0
1986,M,23,94,6116,6974182,0,2399.87,43,6/30/2015,Saturday,Phone,50020,N,1,yes,5.0,5232.0,6513.0
1988,F,18,73,6117,9318709,1,571.77,23,12/16/2015,Sunday,Broker,50035,Y,1,yes,6.0,5233.0,6514.0
1990,M,29,62,6118,6036099,0,1778.16,46,7/16/2016,Monday,Phone,85005,N,0,yes,3.0,5234.0,6515.0
1984,M,24,64,6119,5250332,0,1052.66,47,2/26/2015,Tuesday,Broker,80005,Y,0,yes,6.0,5235.0,6516.0
1984,M,26,56,6120,1846604,0,5538.87,40,2/15/2016,Saturday,Broker,50002,Y,1,yes,9.0,5236.0,6517.0
1997,M,18,72,6121,1027704,0,3733.5,55,11/26/2016,Friday,Broker,50035,N,1,yes,6.0,5237.0,6518.0
1981,M,20,100,5794,1249628,0,1278.15,56,5/24/2016,Sunday,Phone,80014,N,0,yes,10.0,87.0,6519.0
2001,M,16,75,6122,2062846,0,3442.68,39,4/9/2015,Friday,Online,80104,N,1,yes,7.0,5238.0,6520.0
1959,M,18,68,6123,2583622,0,1327.45,32,6/23/2015,Sunday,Phone,15038,N,0,yes,7.0,5239.0,6521.0
1995,M,18,87,6124,9994300,1,2054.13,28,3/6/2015,Sunday,Broker,15027,N,0,yes,12.0,43.0,6522.0
1991,F,17,85,6125,7090230,0,3953.4,28,8/25/2015,Sunday,Phone,20135,N,0,yes,1.0,5240.0,6523.0
1987,M,19,68,6126,4074740,0,2111.51,48,4/24/2015,Thursday,Broker,50002,N,1,yes,5.0,5241.0,6524.0
1968,M,16,61,6127,1497306,0,5563.49,48,10/22/2015,Sunday,Phone,85009,N,0,no,12.0,5242.0,6525.0
1972,M,27,93,6128,3055643,0,1629.88,37,1/5/2015,Tuesday,Phone,15005,N,1,no,10.0,5243.0,6526.0
1981,M,22,83,6129,8623006,0,17468.86,51,7/5/2015,Sunday,Broker,80040,N,0,no,3.0,5244.0,6527.0
1995,M,16,74,6130,9577455,0,4676.44,51,3/15/2015,Tuesday,Phone,50009,Y,0,yes,5.0,1378.0,6528.0
1970,F,26,68,6131,1325645,0,4257.03,25,8/30/2015,Friday,Phone,50052,Y,1,yes,5.0,5245.0,6529.0
1990,M,23,44,6132,8924397,0,942.89,46,11/10/2015,Wednesday,Phone,15025,Y,0,no,11.0,5246.0,6530.0
1972,F,21,74,6133,7501162,0,3058.39,50,3/17/2015,Wednesday,Online,20165,N,1,yes,5.0,5247.0,6531.0
1972,M,22,70,6134,5873356,1,545.9,45,5/12/2015,Saturday,Broker,20142,N,1,yes,8.0,5248.0,6532.0
1977,M,25,38,6135,7197836,0,440.68,20,5/31/2015,Tuesday,Broker,80012,N,1,yes,8.0,5249.0,6533.0
2002,M,21,71,6136,6142202,0,5156.57,41,8/4/2016,Sunday,Phone,80033,N,0,yes,9.0,1219.0,6534.0
1982,M,16,83,2157,4200461,0,5501.16,42,8/28/2016,Wednesday,Broker,80027,Y,1,yes,4.0,5250.0,6535.0
1979,F,26,82,6137,2312048,0,524.01,44,1/3/2015,Friday,Phone,85014,N,0,no,3.0,5251.0,6536.0
1978,M,25,100,6138,4443115,1,1078.77,41,9/30/2015,Thursday,Broker,20116,Y,0,no,12.0,36.0,6537.0
1979,F,24,73,6139,6828593,0,4780.25,46,4/8/2016,Friday,Broker,80025,Y,0,no,6.0,5252.0,6538.0
1982,F,24,55,6140,5520048,0,5832.59,43,1/9/2016,Saturday,Broker,20152,N,1,yes,2.0,87.0,6539.0
1987,F,21,85,6141,8265262,1,6792.73,30,5/3/2016,Saturday,Phone,85005,Y,0,yes,3.0,5253.0,6540.0
1961,M,23,81,6142,1533191,0,754.08,45,8/10/2015,Saturday,Online,15003,Y,1,yes,9.0,183.0,6541.0
1974,F,18,100,6143,8530730,0,3297.46,46,7/27/2016,Wednesday,Broker,85053,N,0,yes,4.0,4380.0,6542.0
1984,F,20,79,6144,7352934,0,1647.98,38,10/4/2016,Monday,Broker,20165,N,0,yes,11.0,5254.0,6543.0
1988,M,24,73,4455,3724369,1,2800.84,36,12/6/2015,Sunday,Broker,15031,Y,1,yes,3.0,5255.0,6544.0
1974,M,24,73,6145,7779054,1,5707.26,41,5/11/2016,Sunday,Broker,15015,N,1,yes,10.0,5256.0,6545.0
1984,F,22,80,6146,4727778,0,2028.08,35,10/6/2016,Friday,Broker,85077,N,1,yes,5.0,355.0,6546.0
1967,M,19,100,1423,6755564,0,8292.68,36,8/13/2015,Tuesday,Broker,15003,N,1,yes,1.0,5257.0,6547.0
2005,M,24,76,6147,2517351,0,2164.61,28,10/3/2015,Tuesday,Online,20158,Y,0,yes,2.0,178.0,6548.0
1953,M,16,32,6148,8804062,0,342.44,30,12/18/2016,Wednesday,Phone,20156,N,1,yes,2.0,5258.0,6549.0
1979,M,16,44,6149,3133905,0,1273.84,29,10/15/2016,Tuesday,Phone,20109,Y,1,yes,9.0,87.0,6550.0
1971,M,21,58,6150,3728134,0,2987.57,36,7/29/2016,Thursday,Phone,85004,N,0,yes,9.0,5259.0,6551.0
1983,F,25,60,6151,8172835,1,4133.84,36,5/9/2016,Saturday,Online,85028,Y,1,yes,8.0,5260.0,6552.0
1991,F,22,65,6152,5194813,0,8589.62,46,8/20/2015,Thursday,Broker,85007,N,1,no,3.0,5261.0,6553.0
1986,M,20,85,6153,6709456,0,2264.55,42,1/28/2015,Tuesday,Broker,20148,Y,0,yes,3.0,5262.0,6554.0
1988,M,23,82,6154,7391689,0,798.41,31,10/2/2016,Monday,Broker,80030,Y,1,no,7.0,5263.0,6555.0
1980,M,19,87,3370,8168426,0,15260.19,36,11/30/2015,Wednesday,Broker,85020,N,0,yes,2.0,5264.0,6556.0
1969,M,29,55,6155,8789854,0,617.97,31,10/20/2015,Wednesday,Online,85001,N,1,yes,1.0,1035.0,6557.0
1979,M,19,54,6156,3025046,0,2520.82,47,3/28/2015,Sunday,Online,50051,Y,1,no,1.0,5265.0,6558.0
1981,M,26,78,6157,9642102,0,1494.49,34,5/21/2015,Wednesday,Broker,80003,N,0,yes,5.0,5266.0,6559.0
1989,M,24,100,6158,7048026,0,5495.2,28,2/9/2016,Wednesday,Broker,20116,Y,1,yes,4.0,189.0,6560.0
1987,M,19,54,6159,1266887,0,1440.53,56,7/26/2015,Wednesday,Online,15057,N,1,yes,4.0,5022.0,6561.0
1989,M,21,74,6160,2575127,0,590.01,64,9/17/2015,Monday,Broker,80028,N,1,no,6.0,83.0,6562.0
1980,F,30,66,6161,9565632,0,4123.13,38,5/10/2016,Sunday,Broker,50036,Y,0,yes,8.0,5267.0,6563.0
1978,F,22,83,6162,8809801,1,1565.36,35,1/14/2016,Sunday,Broker,20135,Y,0,yes,11.0,5268.0,6564.0
1980,F,20,79,6163,8889523,1,540.23,32,10/9/2016,Friday,Online,20113,N,1,yes,11.0,5269.0,6565.0
1978,M,22,100,5089,8480690,1,1556.4,34,7/25/2016,Sunday,Phone,50042,Y,1,yes,6.0,146.0,6566.0
1984,F,25,43,6164,6718606,1,1172.55,40,3/23/2015,Friday,Broker,20138,Y,1,yes,1.0,5270.0,6567.0
1998,M,19,100,6165,6898611,0,1618.96,41,1/27/2015,Thursday,Broker,85037,N,0,yes,10.0,5271.0,6568.0
1978,M,25,100,6138,2576320,0,2821.24,42,1/27/2015,Thursday,Broker,20149,N,0,yes,1.0,5272.0,6569.0
1977,F,22,83,113,7429172,0,2798.58,28,9/9/2015,Thursday,Online,15051,N,1,yes,1.0,5273.0,6570.0
1985,M,20,56,6166,1861941,1,9350.84,37,4/1/2015,Tuesday,Broker,20144,Y,0,yes,2.0,5274.0,6571.0
1975,F,16,82,6167,4348275,0,5542.23,38,3/29/2015,Wednesday,Broker,80002,N,1,yes,7.0,5275.0,6572.0
1945,M,20,73,6168,9099342,0,1943.05,44,4/28/2016,Monday,Broker,85032,N,0,yes,1.0,5276.0,6573.0
1977,M,23,56,6169,5295326,0,2154.59,61,1/23/2016,Thursday,Broker,80031,N,0,yes,3.0,5277.0,6574.0
1980,M,22,100,90,2105329,0,4070.57,37,11/20/2016,Thursday,Broker,80022,N,1,yes,9.0,43.0,6575.0
1991,M,23,85,6170,1371703,0,755.76,51,8/5/2016,Monday,Online,50009,N,0,yes,2.0,466.0,6576.0
1980,M,19,92,6171,8762965,0,3949.35,36,2/3/2016,Wednesday,Broker,80041,Y,0,no,3.0,5278.0,6577.0
1975,F,20,82,6172,1226143,0,436.6,45,9/3/2015,Tuesday,Broker,85008,N,1,yes,10.0,5279.0,6578.0
1983,M,23,79,6173,5168925,1,8014.09,35,1/16/2016,Saturday,Phone,15025,N,0,yes,3.0,5280.0,6579.0
1958,F,22,71,6174,9550369,1,5144.33,29,4/25/2016,Friday,Phone,85014,Y,1,yes,10.0,5281.0,6580.0
1985,F,19,62,6175,7910185,0,2356.32,42,1/22/2015,Wednesday,Broker,85027,N,1,yes,4.0,87.0,6581.0
1951,F,23,69,6176,1858812,0,5161.01,55,11/23/2016,Friday,Broker,85072,N,1,no,1.0,5282.0,6582.0
2002,F,23,93,6177,1889380,0,1226.33,36,1/5/2016,Saturday,Broker,15050,Y,1,no,11.0,5283.0,6583.0
1970,M,26,26,6178,2832257,0,2832.06,44,11/20/2015,Wednesday,Broker,80027,N,1,yes,1.0,5284.0,6584.0
1984,F,18,55,6179,4763469,0,970.01,46,8/31/2015,Monday,Broker,80004,N,1,yes,2.0,5285.0,6585.0
1964,F,20,60,6180,6860576,0,2612.45,42,6/29/2016,Friday,Broker,80016,N,1,yes,4.0,2410.0,6586.0
1996,F,19,68,6181,7904827,0,1764.28,50,6/27/2016,Friday,Phone,80022,N,1,yes,9.0,5286.0,6587.0
1998,M,23,69,6182,3563149,0,795.99,39,5/16/2016,Friday,Phone,80027,Y,1,yes,6.0,5287.0,6588.0
1982,F,19,71,6183,1229373,0,8359.96,54,12/27/2015,Monday,Phone,50006,N,1,no,3.0,2368.0,6589.0
1984,M,23,71,2817,2840748,0,2805.62,23,12/8/2015,Tuesday,Phone,50047,N,1,no,12.0,5288.0,6590.0
1975,M,26,56,6184,5880599,1,9662.82,14,6/29/2015,Saturday,Broker,80035,Y,1,yes,5.0,5289.0,6591.0
1994,M,26,100,6185,4309842,0,6467.95,38,11/19/2016,Wednesday,Online,85025,N,0,yes,11.0,5290.0,6592.0
1978,F,25,80,6186,9242202,0,649.12,33,9/3/2016,Wednesday,Broker,50052,Y,1,yes,12.0,5291.0,6593.0
1969,M,22,64,1968,6140714,0,2793.86,26,3/12/2016,Sunday,Online,80108,Y,0,yes,7.0,5292.0,6594.0
1991,F,17,62,6187,1638694,0,1324.26,34,8/6/2015,Monday,Broker,15025,N,1,no,11.0,5293.0,6595.0
1963,F,21,78,6188,6739415,0,4581.05,30,7/13/2016,Monday,Phone,50025,Y,0,yes,10.0,37.0,6596.0
1976,F,24,60,6189,5008216,1,748.15,19,9/30/2015,Thursday,Online,80021,N,0,yes,3.0,5294.0,6597.0
1989,M,16,67,6190,5122053,0,650.16,31,8/7/2016,Saturday,Online,20134,Y,1,no,3.0,5295.0,6598.0
1981,F,21,95,6191,3341102,0,6022.34,44,5/23/2016,Friday,Broker,80022,N,0,no,9.0,5296.0,6599.0
1973,F,26,80,6192,1033352,0,11831.03,19,7/22/2015,Monday,Phone,85080,Y,0,yes,12.0,1470.0,6600.0
1970,M,17,91,6193,6956818,0,6018.68,41,8/13/2015,Tuesday,Online,15060,N,0,yes,9.0,5297.0,6601.0
1970,F,20,71,6194,6090648,1,14627.76,34,5/8/2015,Wednesday,Broker,20120,N,1,yes,2.0,5298.0,6602.0
1984,F,22,63,6195,8019507,0,1336.95,34,5/5/2016,Wednesday,Online,85077,N,0,no,1.0,5299.0,6603.0
1985,M,16,95,6196,5493103,0,1289.07,47,11/11/2015,Friday,Broker,80013,N,1,no,9.0,4462.0,6604.0
1974,M,18,100,6197,9717359,0,1754.3,34,6/11/2016,Monday,Phone,80016,N,0,yes,9.0,5300.0,6605.0
1987,M,21,82,6198,4323248,0,1280.97,60,12/7/2015,Monday,Online,50029,Y,1,yes,4.0,5301.0,6606.0
1959,F,22,87,6199,4757781,0,2089.99,30,9/20/2016,Saturday,Phone,20107,N,0,no,9.0,5302.0,6607.0
1975,F,17,72,6200,4299704,0,17200.22,29,8/9/2015,Saturday,Broker,50020,N,0,yes,1.0,5303.0,6608.0
1966,M,23,94,6201,7021852,0,5105.91,37,2/25/2015,Friday,Broker,80028,Y,0,yes,9.0,5304.0,6609.0
1971,F,21,59,6202,2425842,0,7202.57,49,3/22/2016,Monday,Broker,15020,N,0,yes,3.0,5305.0,6610.0
1987,F,28,76,6203,2543168,0,6872.96,42,3/20/2016,Saturday,Broker,50026,N,1,yes,7.0,5306.0,6611.0
1981,M,25,60,6204,4394455,0,1234.63,44,7/11/2016,Wednesday,Phone,15030,N,1,no,12.0,5307.0,6612.0
1973,M,20,100,5110,2035771,0,530.48,31,1/9/2016,Sunday,Online,80003,N,1,no,4.0,5308.0,6613.0
1981,M,30,62,6205,2150131,0,3241.95,41,8/11/2015,Wednesday,Online,20160,N,1,yes,5.0,5309.0,6614.0
1977,F,23,74,6206,7953722,0,3872.7,32,7/10/2015,Tuesday,Phone,15046,N,1,yes,8.0,17.0,6615.0
1985,M,25,74,6207,7937804,0,2499.39,47,4/1/2015,Sunday,Phone,15025,Y,0,yes,9.0,5310.0,6616.0
1988,M,19,73,6208,2487831,1,7599.65,32,2/26/2015,Sunday,Broker,15025,Y,1,yes,11.0,5311.0,6617.0
1967,M,27,83,6209,8940541,0,1024.86,37,1/3/2015,Thursday,Broker,20163,N,1,no,2.0,5312.0,6618.0
1986,M,24,77,6210,1800952,0,732.19,36,8/20/2016,Thursday,Broker,20111,N,1,yes,7.0,5313.0,6619.0
1993,F,23,100,6211,1480410,0,1896.2,51,10/15/2015,Friday,Online,20129,N,0,yes,5.0,5314.0,6620.0
1980,F,24,100,6212,1075991,0,2188.76,37,5/29/2016,Tuesday,Phone,20147,N,1,yes,12.0,5315.0,6621.0
1986,M,20,88,6213,3370795,0,2172.66,47,10/21/2016,Saturday,Broker,20158,N,1,yes,9.0,5316.0,6622.0
1980,M,18,65,2850,6354782,1,1903.68,33,11/21/2015,Tuesday,Broker,50025,Y,1,yes,12.0,5317.0,6623.0
1993,M,22,67,6214,2705405,0,1288.09,51,2/22/2015,Sunday,Phone,15049,Y,0,yes,4.0,5318.0,6624.0
1980,F,21,59,3212,5276142,0,951.75,65,11/8/2015,Friday,Broker,0,N,1,yes,6.0,5319.0,6625.0
1978,F,22,64,6215,5588038,0,12381.01,51,1/9/2016,Wednesday,Online,20104,Y,0,yes,4.0,5320.0,6626.0
1980,F,25,74,2052,9282451,1,1715.12,14,5/1/2015,Saturday,Broker,20119,Y,0,yes,8.0,5321.0,6627.0
1977,M,19,44,6216,6511348,1,7922.5,37,1/20/2016,Monday,Broker,80025,Y,1,no,3.0,5322.0,6628.0
1992,F,19,51,4725,1556215,1,1568.39,42,10/1/2016,Sunday,Broker,50049,Y,0,no,2.0,5323.0,6629.0
1976,F,18,74,6217,9192105,1,2566.57,19,5/25/2015,Friday,Broker,85034,Y,0,yes,2.0,5324.0,6630.0
1963,M,17,67,6218,2299755,0,21504.28,35,1/12/2015,Wednesday,Phone,80004,N,1,yes,5.0,185.0,6631.0
1970,M,23,82,6219,5229326,0,1037.0,47,6/6/2016,Sunday,Online,80031,Y,1,yes,3.0,43.0,6632.0
1982,M,23,100,6220,1303884,0,1726.13,37,5/10/2016,Tuesday,Broker,0,N,1,yes,3.0,36.0,6633.0
1968,M,25,75,6221,6636266,1,2070.54,41,4/8/2016,Friday,Broker,80046,N,1,yes,7.0,5325.0,6634.0
1984,F,20,82,6222,4234096,0,3339.52,41,9/19/2015,Tuesday,Broker,50005,Y,1,yes,8.0,5326.0,6635.0
1988,M,26,88,6223,5035328,0,6166.78,40,7/7/2015,Thursday,Broker,80022,Y,1,yes,12.0,43.0,6636.0
1986,M,26,68,6224,9245679,0,4612.9,44,4/11/2015,Friday,Broker,15010,N,1,no,10.0,1893.0,6637.0
1974,M,25,68,6225,5340327,1,1258.3,41,2/19/2015,Sunday,Broker,20121,N,0,yes,8.0,5327.0,6638.0
1984,F,21,45,6226,3371638,0,2511.93,33,4/17/2016,Friday,Phone,80108,N,0,yes,2.0,202.0,6639.0
1980,M,22,78,6227,6006477,0,4239.68,31,9/30/2016,Tuesday,Online,20165,N,1,yes,11.0,5328.0,6640.0
1979,F,20,60,6228,1940314,0,2271.59,46,5/25/2015,Wednesday,Broker,15005,N,1,no,4.0,5329.0,6641.0
1987,M,22,44,6229,4974026,0,1231.01,38,4/9/2016,Friday,Broker,80021,Y,0,yes,5.0,43.0,6642.0
1970,M,25,73,6230,1851270,0,4553.45,36,6/9/2015,Sunday,Phone,15034,N,1,yes,4.0,5330.0,6643.0
1984,M,31,87,6231,5015226,1,3352.65,28,12/7/2015,Wednesday,Phone,80016,N,1,yes,10.0,5331.0,6644.0
1983,F,16,80,6232,1448052,0,3114.28,23,3/16/2015,Thursday,Phone,15025,Y,1,yes,2.0,5332.0,6645.0
1976,F,16,62,6233,5032086,0,6104.44,53,10/7/2016,Sunday,Online,20101,Y,1,yes,2.0,610.0,6646.0
1936,F,23,64,6234,5921824,0,392.8,33,10/19/2016,Wednesday,Broker,20148,N,0,yes,6.0,5333.0,6647.0
1969,F,22,62,6235,5132233,1,3481.06,30,11/14/2015,Thursday,Broker,20134,Y,1,yes,2.0,5334.0,6648.0
1959,M,21,46,6236,4445242,0,1349.63,35,11/5/2016,Wednesday,Broker,50051,N,0,no,2.0,5335.0,6649.0
1981,M,27,86,6237,4754427,0,7303.4,43,12/10/2015,Monday,Phone,85048,N,1,no,10.0,3328.0,6650.0
1980,F,20,72,2146,1492917,0,5351.41,37,11/20/2015,Sunday,Broker,80028,N,1,yes,12.0,5336.0,6651.0
1990,M,18,90,6238,4221743,0,13459.89,49,6/13/2015,Monday,Broker,50021,N,0,yes,9.0,5337.0,6652.0
1990,M,25,65,6239,8059171,0,1036.95,46,2/20/2015,Wednesday,Broker,50049,N,1,no,8.0,5338.0,6653.0
1986,M,19,96,6240,9853058,0,719.49,51,7/8/2016,Saturday,Phone,50047,N,1,no,7.0,5339.0,6654.0
1980,M,22,67,6241,5586050,0,1126.8,41,5/17/2015,Saturday,Phone,80003,N,1,yes,10.0,5340.0,6655.0
1975,M,19,84,6242,5646175,0,3306.54,37,6/7/2016,Wednesday,Broker,20153,N,0,yes,6.0,3637.0,6656.0
1975,F,21,28,6243,9103464,0,17721.32,55,10/9/2015,Monday,Broker,50021,N,1,yes,11.0,5341.0,6657.0
1978,M,17,83,6244,3203521,1,1262.47,32,5/6/2016,Friday,Broker,50049,Y,1,yes,3.0,5342.0,6658.0
1984,F,21,68,6245,3744270,0,899.43,51,3/3/2015,Saturday,Phone,80002,Y,0,yes,8.0,5343.0,6659.0
1996,F,25,52,6246,6652239,0,710.62,45,2/9/2015,Sunday,Broker,80021,N,0,yes,10.0,5344.0,6660.0
1989,M,22,75,6247,5501705,0,969.33,42,9/4/2016,Tuesday,Broker,85080,Y,1,no,9.0,5345.0,6661.0
1989,F,23,70,3838,6231934,1,2609.33,44,4/1/2016,Saturday,Broker,85014,Y,1,yes,3.0,5346.0,6662.0
1960,F,20,65,6248,5257983,0,1720.83,46,7/30/2015,Thursday,Phone,20115,Y,1,yes,8.0,866.0,6663.0
1986,M,27,52,6249,4327771,0,668.04,42,10/11/2015,Saturday,Broker,15018,N,0,no,4.0,5347.0,6664.0
1985,M,21,93,6250,6731356,0,2140.9,34,9/29/2016,Wednesday,Broker,80105,N,0,yes,1.0,5348.0,6665.0
2002,F,21,69,6251,1246622,0,1950.27,36,2/22/2015,Monday,Broker,15005,N,1,yes,6.0,5349.0,6666.0
1990,M,20,100,1835,3994218,0,2815.17,41,3/7/2015,Friday,Online,80104,N,0,yes,11.0,5350.0,6667.0
1990,F,19,80,6252,8668694,1,2029.05,21,2/5/2015,Saturday,Phone,20101,N,0,yes,10.0,5351.0,6668.0
1975,M,20,58,6253,2326372,1,3010.55,31,6/30/2016,Thursday,Phone,80027,N,0,yes,2.0,5352.0,6669.0
1984,F,20,74,6254,1776353,0,1062.96,45,5/14/2015,Wednesday,Phone,15045,Y,1,yes,7.0,1415.0,6670.0
1972,M,17,69,6255,6802853,0,2579.42,50,4/13/2016,Wednesday,Online,50011,N,1,yes,12.0,36.0,6671.0
1989,F,27,77,6256,7841710,1,595.37,50,11/8/2015,Saturday,Broker,20120,Y,0,no,10.0,5353.0,6672.0
1985,F,24,74,2802,8981273,0,992.25,31,6/24/2016,Wednesday,Broker,50027,N,0,yes,5.0,894.0,6673.0
1962,F,26,100,6257,2859191,0,1439.34,62,2/20/2015,Thursday,Online,50021,N,0,yes,10.0,5354.0,6674.0
1982,F,28,65,6258,2434102,0,3904.95,47,11/16/2015,Saturday,Phone,20149,Y,0,no,4.0,36.0,6675.0
1990,F,23,86,5057,9674916,1,8217.11,27,7/6/2016,Friday,Phone,80026,Y,1,yes,10.0,5355.0,6676.0
1997,M,21,58,6259,3255655,0,1022.82,40,10/25/2016,Thursday,Broker,0,N,1,no,4.0,5356.0,6677.0
1994,M,23,80,218,8215791,0,1726.01,36,2/7/2016,Saturday,Phone,15038,N,0,no,1.0,2360.0,6678.0
1952,M,29,52,6260,7239780,1,1229.09,26,1/25/2016,Thursday,Broker,85020,Y,1,yes,8.0,5357.0,6679.0
1996,M,16,67,6261,7242956,1,9986.49,41,9/11/2016,Saturday,Phone,85021,Y,1,yes,7.0,5358.0,6680.0
1987,M,20,71,6262,5018940,0,2984.64,34,2/17/2016,Tuesday,Phone,15012,N,1,yes,9.0,5359.0,6681.0
1977,M,24,60,6263,6767529,0,3173.47,39,10/29/2015,Tuesday,Online,85063,N,0,yes,6.0,5360.0,6682.0
1969,F,22,73,6264,9031532,1,440.97,35,3/26/2016,Sunday,Broker,15055,Y,1,yes,2.0,5361.0,6683.0
1993,F,20,69,6265,5297955,0,3086.62,55,4/2/2016,Sunday,Broker,15003,N,0,no,5.0,5362.0,6684.0
1975,F,26,94,6266,5143346,0,657.1,30,6/30/2015,Saturday,Broker,80011,Y,0,yes,2.0,5363.0,6685.0
1972,F,18,60,6267,1077735,1,1462.89,32,11/19/2015,Sunday,Broker,80011,N,1,no,10.0,141.0,6686.0
1975,F,23,90,6268,3231266,0,1615.53,27,10/27/2016,Monday,Broker,15037,Y,0,yes,7.0,5364.0,6687.0
1976,F,21,87,1083,9239004,0,587.24,54,8/22/2016,Wednesday,Phone,85077,Y,1,no,5.0,5365.0,6688.0
1977,F,22,74,1085,1013505,1,1099.65,29,5/2/2016,Monday,Online,15046,Y,1,yes,12.0,189.0,6689.0
1967,F,21,92,266,3692780,0,857.55,33,9/17/2015,Wednesday,Phone,85006,Y,1,yes,7.0,5366.0,6690.0
1982,M,22,55,6269,6683009,0,5302.11,48,5/10/2016,Tuesday,Broker,20122,Y,1,yes,9.0,5367.0,6691.0
1979,F,16,40,6270,2444978,0,5993.78,29,6/9/2015,Saturday,Broker,15012,N,1,yes,12.0,5368.0,6692.0
1980,F,23,84,6271,5278885,0,3317.12,30,2/14/2015,Wednesday,Online,80024,N,1,yes,12.0,5369.0,6693.0
